variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
"Environmental goods trade balance|US Dollars|ECBTGB|Trade in Environmental Goods; Trade Balance|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Trade Balance|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods trade balance,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on biodiversity & landscape protection|GENB_G14|Expenditure on Biodiversity & Landscape Protection|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Protection of Biodiversity and Landscape [2014 Manual]|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on biodiversity & landscape protection,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on biodiversity & landscape protection|GENB_G14|Expenditure on Biodiversity & Landscape Protection|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Protection of Biodiversity and Landscape [2014 Manual]|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on biodiversity & landscape protection,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on environment protection|GEN_G14|Environmental Protection Expenditures|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection [2014 Manual]|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on environment protection,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on environment protection|GEN_G14|Environmental Protection Expenditures|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection [2014 Manual]|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on environment protection,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on environmental protection R&D|GENR_G14|Expenditure on Environmental Protection R&D|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, R&D Environmental Protection [2014 Manual]|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on environmental protection R&D,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on environmental protection R&D|GENR_G14|Expenditure on Environmental Protection R&D|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, R&D Environmental Protection [2014 Manual]|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on environmental protection R&D,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on environmental protection n.e.c.|GENO_G14|Expenditure on Environmental Protection Not Elsewhere Classified|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Environmental Protection Not Elsewhere Classified [2014 Manual]|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on environmental protection n.e.c.,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on environmental protection n.e.c.|GENO_G14|Expenditure on Environmental Protection Not Elsewhere Classified|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Environmental Protection Not Elsewhere Classified [2014 Manual]|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on environmental protection n.e.c.,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on pollution abatement|GENP_G14|Expenditure on Pollution Abatement|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Pollution Abatement [2014 Manual]|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on pollution abatement,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on pollution abatement|GENP_G14|Expenditure on Pollution Abatement|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Pollution Abatement [2014 Manual]|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on pollution abatement,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on waste management|GENM_G14|Expenditure on Waste Management|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Waste Management [2014 Manual]|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on waste management,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on waste management|GENM_G14|Expenditure on Waste Management|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Waste Management [2014 Manual]|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on waste management,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on waste water management|GENW_G14|Expenditure on Waste Water Management|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Waste Water Management [2014 Manual]|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on waste water management,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Expenditure on waste water management|GENW_G14|Expenditure on Waste Water Management|Government and Public Sector Finance, Expenditure By Cofog, [Sector], Environmental Protection, Waste Water Management [2014 Manual]|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/23_Environmental_Protection_Expenditures.csv,Expenditure on waste water management,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Explicit Fossil Fuel Subsidies - Coal|ECGFTEC|Explicit; Coal|Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Coal|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/24_Fossil_Fuel_Subsidies.csv,Explicit Fossil Fuel Subsidies - Coal,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Explicit Fossil Fuel Subsidies - Coal|ECGFTEC|Explicit; Coal|Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Coal|USD at constant 2021 prices",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/24_Fossil_Fuel_Subsidies.csv,Explicit Fossil Fuel Subsidies - Coal,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
